question_id,question,answer,field,year,correct answer,question_english,answer_english,field_english,question_type_category,question_type_format,question_type_clinical_domain,question_type_specialty_subtype,question_type_complexity_level,question_type_is_clinical_case,question_type_required_knowledge,question_type_gender,question_type_age_value,question_type_age_unit,question_type_age_ageCategory
7994,خانم جوانی که چهار ماه قبل به دلیل اقدام به خودکشی در ICU زیر ونتیلاتور بوده، با تنگی نفس فعالیتی ،استریدور و بی قراری مراجعه نموده است. بهترین اقدام در این مرحله کدام است؟,"{'1': 'اینتوباسیون بیمار ', '2': 'تراکئوستومی اورژانس ', '3': 'ریجید برونکوسکوپی ', '4': 'تجویز اکسیژن و Sedation بیمار'}",جراحی,1397,3,"A young woman who was on a ventilator in the ICU four months ago due to a suicide attempt presents with exertional dyspnea, stridor, and restlessness. What is the best course of action at this stage?","{""1"": ""Patient intubation"", ""2"": ""Emergency tracheostomy"", ""3"": ""Rigid bronchoscopy"", ""4"": ""Administer oxygen and patient sedation""}",Surgery,treatment,case_scenario,pulmonology,airway_management,intermediate,1.0,"[""airway obstruction"", ""stridor"", ""post-intubation complications"", ""management of respiratory distress""]",female,,,Adult (18+)
4203,ﺑﯿﻤﺎر ﺑﻪ دﻧﺒﺎل ﺗﺮوﻣﺎي ﺷﺪﯾﺪ و ﺷﮑﺴﺘﮕﯽ اﻧﺪام ﺗﺤﺘﺎﻧﯽ ﺑﻪ اورژاﻧﺲ ﻣﻨﺘﻘﻞ ﺷﺪه اﺳﺖ. در ﻣﻌﺎﯾﻨﻪ ﻧﺒﺾ دﯾﺴﺘﺎل اﻧﺪام ﺗﺤﺘﺎﻧﯽ راﺳﺖ ﻗﺎﺑﻞ ﻟﻤﺲ ﻧﯿﺴﺖ. اﻗﺪام ﻣﻨﺎﺳﺐ ﺑﻌﺪي ﮐﺪام اﺳﺖ؟,"{'1': 'ﺳﺮم ﺗﺮاﭘﯽ ', '2': 'آﻧﮋﯾﻮﮔﺮاﻓﯽ ', '3': 'ﺳﻮﻧﻮﮔﺮاﻓﯽ داﭘﻠﺮ ', '4': 'ﺟﺎ اﻧﺪازي ﺷﮑﺴﺘﮕﯽ'}",جراحی,1398,4,"The patient was transferred to the emergency department following severe trauma and lower extremity fracture. On examination, the distal pulse of the right lower extremity is not palpable. What is the appropriate next step?","{""1"": ""Angiography"", ""2"": ""Doppler ultrasound"", ""3"": ""CT angiography"", ""4"": ""Surgical exploration""}",Surgery,procedural,direct_question,orthopedics,trauma,intermediate,1.0,"[""orthopedic trauma management"", ""vascular assessment"", ""emergency medicine procedures""]",unspecified,unspecified,unspecified,Unspecified
13850,کودکی را جهت ارزیابی تکاملی معاینه می کنید وی می تواند از پله ها بالا و پایین برود و به خوبی از قاشق استفاده کند و جملات سه کلمه ای می گوید. معنی دیروز و فردا را می فهمد. حداقل سن تکاملی وی چقدر است؟,"{'1': '3 سال ', '2': '2 سال ', '3': '4 سال ', '4': '5 سال'}",کودکان,1394,1,"You are examining a child for developmental evaluation. They can go up and down stairs, use a spoon well, and say three-word sentences. They understand the meaning of yesterday and tomorrow. What is their minimum developmental age?","{""1"": ""3 years"", ""2"": ""2 years"", ""3"": ""4 years"", ""4"": ""5 years""}",Pediatrics,other,case_scenario,pediatrics,developmental_pediatrics,intermediate,1.0,"[""pediatric developmental milestones"", ""language development"", ""fine motor skills"", ""gross motor skills""]",unspecified,unspecified,unspecified,Child (2-17)
1435,خانم ۴۵ سال مبتلا به دیابت با ضعف و بیحالی بستری شده است. در آزمایشات اولیه پتاسیم 3 دارند. کدام یک از داروهای زیر به عنوان علل هایپوکالمی مطرح نمی باشد؟,"{'1': 'مصرف دیگوکسین ', '2': 'مصرف هیدروکلروتیازید ', '3': 'مصرف تئوفيلين ', '4': 'مصرف فروزماید'}",نفرولوژی,1401,4,A 45-year-old female with diabetes is hospitalized with weakness and malaise. Initial lab tests show potassium of 3. Which of the following medications is NOT considered a cause of hypokalemia?,"{""1"": ""Digoxin use"", ""2"": ""Hydrochlorothiazide use"", ""3"": ""Theophylline use"", ""4"": ""Furosemide use""}",Nephrology,etiology,multiple_choice,endocrinology,Diabetes Mellitus,intermediate,1.0,"[""Endocrinology"", ""Pharmacology"", ""Electrolyte Imbalances"", ""Diabetes Mellitus""]",female,45,years,Adult (18+)
8552,"آقای 20 ساله با آزمایشات زیر مراجعه کرده است. در صورتی که فشار خون بیمار 160/95 باشد محتمل ترین تشخیص کدام است؟pH: 7.48, K: 3.2HCO3: 34, serum renin: highPCO2 : 46, serum aldosterone: high","{'1': 'Glucocorticoid remediable aldostronism ', '2': 'Cushing syndrome ', '3': 'Malignant hypertension ', '4': 'Malignant hypertension'}",غدد,1397,1,"A 20-year-old male presented with the following lab results. If the patient's blood pressure is 160/95, what is the most likely diagnosis? pH: 7.48, K: 3.2, HCO3: 34, serum renin: high, PCO2: 46, serum aldosterone: high","{""1"": ""Glucocorticoid remediable aldosteronism"", ""2"": ""Cushing syndrome"", ""3"": ""Malignant hypertension"", ""4"": ""Malignant hypertension""}",Endocrinology,diagnosis,case_scenario,endocrinology,hypertension,intermediate,1.0,"[""acid-base balance"", ""electrolyte imbalances"", ""renin-aldosterone system"", ""causes of secondary hypertension""]",male,20,years,Adult (18+)
17681,مرد 24 ساله ای که HIV مثبت است، به علت کندیلومای متعدد اطراف مقعد و پرینه همراه با عفونت و خونریزی مراجعه می نماید. در مورد این ضایعات همه موارد زیر صحیح است، بجز:,"{'1': 'درمان موضعی ضایعات فوق لازم است ', '2': 'تجویز اینترفرون موجب کاهش عود بعد از درمان می شود. ', '3': 'خطر بدخیمی در این ضایعات کم است. ', '4': 'تجویز تنظیم کننده های پاسخ ایمنی ریشه کنی طولانی مدت را می افزاید.'}",جراحی,1393,3,"A 24-year-old HIV-positive man presents with multiple perianal and perineal condylomata accompanied by infection and bleeding. Regarding these lesions, all of the following are true, EXCEPT:","{""1"": ""Topical treatment of the above lesions is necessary."", ""2"": ""Interferon administration reduces recurrence after treatment."", ""3"": ""The risk of malignancy in these lesions is low."", ""4"": ""Administration of immune response modifiers increases long-term eradication.""}",Surgery,treatment,multiple_choice,infectious_disease,HIV/AIDS,intermediate,1.0,"[""HIV management"", ""Anorectal diseases"", ""Condyloma acuminata"", ""Treatment options for condyloma in immunocompromised patients""]",male,24,years,Adult (18+)
8237,بیماری 56 ساله مبتلا به فشار خون و بزرگی پروستات که در آزمایش هیپرتروفی خوش‌خیم پروستات (BPH) را نشان داده است، از احتباس ادراری شکایت دارد. مصرف کدام یک از داروهای زیر برای این بیمار جهت شروع درمان مناسب‌تر است؟,"{'1': 'آتنولول ', '2': 'پرازوسین ', '3': 'متوپرولول ', '4': 'آلبوترول'}",فارماکولوژی,1397,2,"A 56-year-old patient with hypertension and enlarged prostate, whose tests show benign prostatic hyperplasia (BPH), complains of urinary retention. Which of the following medications is most suitable for initiating treatment in this patient?","{""1"": ""Atenolol"", ""2"": ""Prazosin"", ""3"": ""Metoprolol"", ""4"": ""Albuterol""}",Pharmacology,treatment,direct_question,urology,benign_prostatic_hyperplasia,intermediate,1.0,"[""pharmacology"", ""urology"", ""benign_prostatic_hyperplasia"", ""hypertension"", ""drug interactions""]",male,56,years,Adult (18+)
8717,"بیماری به علت ایکتر و خارش مراجعه نموده است. در آزمایشات:AST=80 , ALP=1200 , Alb=4 , ALT = 100Bil (T=12 , D=11) , PT=13 (کنترل PT=12)در سونوگرافی مجاری صفراوی و کیسه صفرا نرمال است. چه اقدام تشخیصی باید انجام شود؟","{'1': 'P.ANCA ', '2': 'CT اسکن شکم ', '3': 'اندازهگیری سرولوپلاسمین سرم ', '4': 'ANA'}",گوارش,1397,1,"The patient presented with jaundice and itching. Laboratory tests showed: AST=80, ALP=1200, Alb=4, ALT=100, Bil (T=12, D=11), PT=13 (PT control=12). Ultrasound of the bile ducts and gallbladder is normal. What diagnostic step should be taken?","{""1"": ""P.ANCA "", ""2"": ""Abdominal CT scan "", ""3"": ""Serum ceruloplasmin measurement "", ""4"": ""ANA""}",Gastroenterology,diagnosis,case_scenario,gastroenterology,hepatobiliary,intermediate,1.0,"[""Interpretation of liver function tests"", ""Differential diagnosis of jaundice"", ""Evaluation of biliary obstruction"", ""Imaging modalities for hepatobiliary system""]",unspecified,unspecified,unspecified,Unspecified
6721,بیمار 50 ساله به دنبال رزکسیون کولون دچار DVT ساق پا برای اولین بار شده است. داروی ضد انعقاد را برای چه مدت توصیه می‌کنید؟,"{'1': 'دو هفته ', '2': 'سه ماه ', '3': 'چهار تا شش هفته ', '4': 'یک سال'}",جراحی,1397,2,A 50-year-old patient developed a first-time leg DVT following colon resection. For how long do you recommend anticoagulant medication?,"{""1"": ""Two weeks"", ""2"": ""Three months"", ""3"": ""Four to six weeks"", ""4"": ""One year""}",Surgery,treatment,case_scenario,hematology_oncology,thrombosis,intermediate,1.0,"[""DVT management"", ""anticoagulation duration"", ""post-surgical complications""]",unspecified,50,years,Adult (18+)
1877,نوزاد 10 روزه ای که در هفته 32 متولد شده است، به دلیل استفراغ و عدم تحمل شیر تحت بررسی قرار می گیرد. در گرافی انجام شده گاز در جدار روده ها دیده میشود. اولین اقدام مناسب کدام است؟\n-,"{'1': 'مایعات وریدی، آنتی بیوتیک و لوله معده ای ', '2': 'جراحی فوری و رزکشن سگمان درگیر روده ', '3': 'انما با سالین تا دفع مدفوع و تخلیه کولون ', '4': 'تعبیه رکتال تیوب و آنتی بیوتیک'}",جراحی,1401,1,A 10-day-old infant born at 32 weeks is being evaluated for vomiting and milk intolerance. X-ray shows gas in the intestinal wall. What is the most appropriate initial action?,"{""1"": ""Intravenous fluids, antibiotics, and nasogastric tube"", ""2"": ""Emergency surgery and resection of the involved intestinal segment"", ""3"": ""Saline enema until defecation and colon evacuation"", ""4"": ""Rectal tube placement and antibiotics""}",Surgery,diagnosis,case_scenario,pediatrics,neonatology,intermediate,1.0,"[""Neonatal gastrointestinal pathology"", ""Necrotizing enterocolitis"", ""Radiographic findings in neonates"", ""Management of neonatal feeding intolerance""]",unspecified,10,days,Infant (0-1)
4992,پسر ۵ ساله با ادم منتشر به درمانگاه مراجعه کرده است. در معاینه دچار ادم گوده گذار و آسیت می باشد. فشار خون وی نرمال است و پروتئینوری +4 دارد. در چه موردی ابتدا باید بیوپسی کلیه انجام شود و سپس درمان وی شروع شود؟,"{'1': 'هیپوآلبومینمی و هایپرکلسترولمی ', '2': 'وجود RBC در ادرار (هماچوری میکروسکوپی) ', '3': 'C3 پایین ', '4': 'نسبت Pr به Cr در نمونه ادرار راندم بیشتر از ۲ باشد'}",کودکان,1398,3,"A 5-year-old boy presented to the clinic with generalized edema. On examination, he has pitting edema and ascites. His blood pressure is normal and he has +4 proteinuria. In which case should a kidney biopsy be performed first, followed by treatment?","{""1"": ""Hypoalbuminemia and hypercholesterolemia"", ""2"": ""Presence of RBC in urine (microscopic hematuria)"", ""3"": ""Low C3"", ""4"": ""Pr to Cr ratio in a random urine sample is greater than 2""}",Pediatrics,diagnosis,case_scenario,nephrology,pediatric_nephrology,intermediate,1.0,"[""Pediatric nephrotic syndrome"", ""Indications for renal biopsy in children"", ""Management of nephrotic syndrome""]",male,5,years,Child (2-17)
14337,در یک شیرخوار 6 ماهه، با سابقه دو نوبت پنومونی، برفک دهانی مقاوم از 3 ماهگی و اختلال وزن گیری، کدام یک از بیمای های نقص ایمنی اولیه مطرح است؟,"{'1': 'نقایص ایمنی اولیه همورال ', '2': 'نقایص ایمنی اولیه سلولی ', '3': 'نقایص ایمنی کمپلمان ', '4': 'بیماری CGD'}",کودکان,1394,2,"In a 6-month-old infant with a history of two episodes of pneumonia, resistant oral thrush since 3 months of age, and failure to thrive, which primary immunodeficiency disease is likely?","{""1"": ""Primary Humoral Immunodeficiencies"", ""2"": ""Primary Cellular Immunodeficiencies"", ""3"": ""Complement Immunodeficiencies"", ""4"": ""CGD Disease""}",Pediatrics,diagnosis,direct_question,pediatrics,immunology,intermediate,1.0,"[""Pediatric immunology"", ""Primary immunodeficiency disorders"", ""Recurrent infections in infants"", ""Failure to thrive""]",unspecified,6,months,Infant (0-1)
5074,ﻣﺮد 60 ﺳﺎﻟﻪ اي ﺑﺎ ﯾﮏ ﺿﺎﯾﻌﻪ ﻧﺪوﻻر، ﺑﺮاق و ﺷﺒﯿﻪ ﻣﺮوارﯾﺪ روي ﺑﯿﻨﯽ ﻣﺮاﺟﻌﻪ ﮐﺮده اﺳﺖ . درﻣﻌﺎﯾﻨﻪ، ﺗﻼﻧﮋﮐﺘﺎزي ﻧﯿﺰ در ﺳﻄﺢ ﺿﺎﯾﻌﻪ دﯾﺪه ﻣﯽ ﺷﻮد. ﻣﺤﺘﻤﻞ ﺗﺮﯾﻦ ﺗﺸﺨﯿﺺ ﮐﺪام اﺳﺖ؟,"{'1': 'ﺑﯿﻤﺎري ﺑوون ', '2': 'ﮐﺎرﺳﯿﻨﻮم ﺳﻠﻮل ﺑﺎزال ', '3': 'ﻟﻨﺘﯿﮕﻮ ﻣﺎﻟﯿﮕﻨﺎ ', '4': 'ﻧﻮوس آﺗﯿﭙﯿﮏ'}",پوست,1398,2,"A 60-year-old man presents with a nodular, shiny, pearl-like lesion on his nose. On examination, telangiectasia is also seen on the surface of the lesion. What is the most likely diagnosis?","{""1"": ""Melanoma"", ""2"": ""Basal cell carcinoma"", ""3"": ""Squamous cell carcinoma"", ""4"": ""Actinic keratosis""}",Dermatology,diagnosis,case_scenario,dermatology,skin_cancer,intermediate,1.0,"[""dermatology"", ""skin_lesions"", ""basal_cell_carcinoma""]",male,60,years,Adult (18+)
16996,بیمار شیرخوار 5 ماهه با وزن 6kg و وزن تولد 2900g به علت استفراغ که از 3 ساعت پیش شروع شده، مراجعه کرده است. استفراغ مکرر همراه با بی قراری بوده است. بعد از یک مشکل هنوز دفع نداشته است. در معاینه ill و توکسیک بوده، تب و اتساع مختصر شکم و حساسیت دارد. کدام تشخیص مطرح است؟,"{'1': 'آپاندیسیت پرفوره ', '2': 'مالروتیشن میدگات ', '3': 'انواژیناسیون ', '4': 'دیورتیکولیت مکل'}",جراحی,1394,2,"A 5-month-old infant weighing 6kg with a birth weight of 2900g presented with vomiting that started 3 hours ago. The vomiting has been frequent and accompanied by irritability. There has been no bowel movement since the onset of symptoms. On examination, the infant is ill and toxic, with fever, mild abdominal distension, and tenderness. Which diagnosis is likely?","{""1"": ""Perforated appendicitis"", ""2"": ""Midgut malrotation"", ""3"": ""Intussusception"", ""4"": ""Meckel's diverticulitis""}",Surgery,diagnosis,case_scenario,pediatrics,gastroenterology,intermediate,1.0,"[""Pediatric gastroenterology"", ""Differential diagnosis of vomiting in infants"", ""Physical examination findings in infants with abdominal pathology""]",unspecified,5,months,Infant (0-1)
15884,گره های لنفاوی مجاور توده های سرطانی گاهی به دلیل غیرمتاستاتیک بزرگ می شوند. احتمال مشاهده کدام یک از تغییرات مرفولوژیک غیراختصاصی زیر در این گره های لنفاوی بیشتر است؟,"{'1': 'هیستوسیتوز سینوسی ', '2': 'هیپرپلازی فولیکولی ', '3': 'هیپرپلازی پاراکورتیکال ', '4': 'لنف آدنیت حاد'}",پاتولوژی,1394,1,Lymph nodes adjacent to cancerous masses are sometimes enlarged due to non-metastatic causes. Which of the following non-specific morphological changes is most likely to be observed in these lymph nodes?,"{""1"": ""Sinus histiocytosis"", ""2"": ""Follicular hyperplasia"", ""3"": ""Paracortical hyperplasia"", ""4"": ""Acute lymphadenitis""}",Pathology,pathophysiology,direct_question,pathology,Lymphatic System,intermediate,0.0,"[""Lymph node morphology"", ""Pathological changes in lymph nodes"", ""Response of lymph nodes to adjacent malignancy""]",unspecified,unspecified,unspecified,Unspecified
727,باتوجه به یافته های رادیوگرافی زیر در کودکی با شرح حال تروما کدام نوع شکستگی مطرح است؟,"{'1': 'Buckle ', '2': 'Complete ', '3': 'Greenstick ', '4': 'Plastic bowing deformity'}",رادیولوژی,1402,3,"Considering the following radiographic findings in a child with a history of trauma, which type of fracture is suggested?","{""1"": ""Buckle "", ""2"": ""Complete "", ""3"": ""Greenstick "", ""4"": ""Plastic bowing deformity""}",Radiology,diagnosis,case_scenario,orthopedics,fracture,intermediate,1.0,"[""pediatric orthopedics"", ""radiology interpretation"", ""fracture classification""]",unspecified,unspecified,unspecified,Child (2-17)
